Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 172: Best Solution = [-8.90594990e-19  9.42066393e-19], Best Fitness = 1.680648524810912e-36, Evaluations = 1384
Generation 173: Best Solution = [-8.90594990e-19  9.42066393e-19], Best Fitness = 1.2092042858534022e-36, Evaluations = 1392
Generation 174: Best Solution = [-8.90594990e-19  9.42066393e-19], Best Fitness = 1.2092042858534022e-36, Evaluations = 1400
Generation 175: Best Solution = [-8.90594990e-19  9.42066393e-19], Best Fitness = 1.2092042858534022e-36, Evaluations = 1408
Generation 176: Best Solution = [-8.90594990e-19  9.42066393e-19], Best Fitness = 1.2092042858534022e-36, Evaluations = 1416
Generation 177: Best Solution = [-4.63850666e-19 -3.27813711e-19], Best Fitness = 3.226192698626568e-37, Evaluations = 1424
Generation 178: Best Solution = [-4.63850666e-19 -3.27813711e-19], Best Fitness = 3.226192698626568e-37, Evaluations = 1432
Generation 179: Best Solution = [ 8.38963063e-21 -2.06869881e-19], Best Fitness = 4.286553370381255e-38, Evaluations = 1440
Generation 180: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1448
Generation 181: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1456
Generation 182: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1464
Generation 183: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1472
Generation 184: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1480
Generation 185: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1488
Generation 186: Best Solution = [-6.24122910e-20 -6.77935096e-20], Best Fitness = 8.491254009158459e-39, Evaluations = 1496
Generation 187: Best Solution = [-3.86770092e-20  2.28474553e-20], Best Fitness = 2.0179172504581083e-39, Evaluations = 1504
Generation 188: Best Solution = [ 8.38963063e-21 -2.87091622e-20], Best Fitness = 8.946018974191879e-40, Evaluations = 1512
Generation 189: Best Solution = [ 8.38963063e-21 -2.87091622e-20], Best Fitness = 8.946018974191879e-40, Evaluations = 1520
Generation 190: Best Solution = [ 8.38963063e-21 -2.87091622e-20], Best Fitness = 5.804087031484798e-40, Evaluations = 1528
Generation 191: Best Solution = [ 8.38963063e-21 -8.66162016e-21], Best Fitness = 1.4540956584688652e-40, Evaluations = 1536
Generation 192: Best Solution = [ 8.38963063e-21 -8.66162016e-21], Best Fitness = 1.4540956584688652e-40, Evaluations = 1544
Generation 193: Best Solution = [ 8.38963063e-21 -8.66162016e-21], Best Fitness = 1.4540956584688652e-40, Evaluations = 1552
Generation 194: Best Solution = [ 8.38963063e-21 -8.66162016e-21], Best Fitness = 1.4540956584688652e-40, Evaluations = 1560
Generation 195: Best Solution = [ 8.38963063e-21 -8.66162016e-21], Best Fitness = 1.4540956584688652e-40, Evaluations = 1568
Generation 196: Best Solution = [ 4.82576586e-21 -3.29311283e-21], Best Fitness = 3.413260829622304e-41, Evaluations = 1576
Generation 197: Best Solution = [ 4.82576586e-21 -3.29311283e-21], Best Fitness = 3.413260829622304e-41, Evaluations = 1584
Generation 198: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1592
Generation 199: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1600
Generation 200: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1608
Generation 201: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1616
Generation 202: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1624
Generation 203: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1632
Generation 204: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1640
Generation 205: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1648
Generation 206: Best Solution = [-5.67067529e-22  1.45920488e-21], Best Fitness = 2.4508444664838222e-42, Evaluations = 1656
Generation 207: Best Solution = [-5.54549165e-22 -8.97927419e-22], Best Fitness = 1.113798425148829e-42, Evaluations = 1664
