Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 210: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1688
Generation 211: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1696
Generation 212: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1704
Generation 213: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1712
Generation 214: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1720
Generation 215: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1728
Generation 216: Best Solution = [5.88027034e-24 1.68251679e-23], Best Fitness = 3.1766385477097944e-46, Evaluations = 1736
Generation 217: Best Solution = [5.88027034e-24 1.68251679e-23], Best Fitness = 3.1766385477097944e-46, Evaluations = 1744
Generation 218: Best Solution = [4.69715786e-24 4.95724133e-24], Best Fitness = 4.663753353317499e-47, Evaluations = 1752
Generation 219: Best Solution = [4.69715786e-24 4.95724133e-24], Best Fitness = 4.663753353317499e-47, Evaluations = 1760
Generation 220: Best Solution = [4.69715786e-24 4.95724133e-24], Best Fitness = 4.663753353317499e-47, Evaluations = 1768
Generation 221: Best Solution = [-4.65911320e-24  3.21041913e-24], Best Fitness = 3.201412677862167e-47, Evaluations = 1776
Generation 222: Best Solution = [-4.65911320e-24  3.21041913e-24], Best Fitness = 3.201412677862167e-47, Evaluations = 1784
Generation 223: Best Solution = [-1.77917143e-24  6.89660284e-25], Best Fitness = 3.641082267979168e-48, Evaluations = 1792
Generation 224: Best Solution = [-1.77917143e-24  6.89660284e-25], Best Fitness = 3.641082267979168e-48, Evaluations = 1800
